path,n_hops,pearson_r,max_abs_diff
CIVETNMT -> NMT2Sym -> CIVETNMT,2,0.9915246086499961,0.046502336859703064
CIVETNMT -> NMT2Sym -> Yerkes19 -> CIVETNMT,3,0.9730120048395399,0.08461898565292358
CIVETNMT -> NMT2Sym -> D99 -> Yerkes19 -> CIVETNMT,4,0.9635248563652687,0.1262012179940939
CIVETNMT -> MEBRAINS -> CIVETNMT,2,0.9156186722344786,0.11675522476434708
CIVETNMT -> MEBRAINS -> Yerkes19 -> CIVETNMT,3,0.9105219922582787,0.11833543889224529
CIVETNMT -> MEBRAINS -> D99 -> Yerkes19 -> CIVETNMT,4,0.8990256042659399,0.14578085392713547
CIVETNMT -> NMT2Sym -> MEBRAINS -> CIVETNMT,3,0.8895123379694982,0.12401513569056988
CIVETNMT -> NMT2Sym -> D99 -> MEBRAINS -> CIVETNMT,4,0.8862826568229369,0.13358231610618532
CIVETNMT -> NMT2Sym -> MEBRAINS -> Yerkes19 -> CIVETNMT,4,0.8832101813181021,0.12964957766234875
CIVETNMT -> NMT2Sym -> Yerkes19 -> MEBRAINS -> CIVETNMT,4,0.8753826271396039,0.1328798159956932
CIVETNMT -> D99 -> Yerkes19 -> CIVETNMT,3,0.7744404086473275,0.29059387743473053
CIVETNMT -> NMT2Sym -> Yerkes19 -> NMT2Sym -> CIVETNMT,4,0.739688073135509,0.24318690598011017
CIVETNMT -> NMT2Sym -> D99 -> NMT2Sym -> CIVETNMT,4,0.7297659600186246,0.24152559787034988
CIVETNMT -> MEBRAINS -> D99 -> MEBRAINS -> CIVETNMT,4,0.711445957058215,0.20784607157111168
CIVETNMT -> MEBRAINS -> D99 -> NMT2Sym -> CIVETNMT,4,0.7104248070236454,0.2477208822965622
CIVETNMT -> MEBRAINS -> NMT2Sym -> CIVETNMT,3,0.7019550119899832,0.248844176530838
CIVETNMT -> MEBRAINS -> Yerkes19 -> MEBRAINS -> CIVETNMT,4,0.695450198308381,0.20429011434316635
CIVETNMT -> MEBRAINS -> Yerkes19 -> NMT2Sym -> CIVETNMT,4,0.6942781800817132,0.24006139114499092
CIVETNMT -> MEBRAINS -> NMT2Sym -> Yerkes19 -> CIVETNMT,4,0.6756632528165802,0.25894711911678314
CIVETNMT -> D99 -> MEBRAINS -> Yerkes19 -> CIVETNMT,4,0.6707173344993299,0.25822577625513077
CIVETNMT -> D99 -> MEBRAINS -> CIVETNMT,3,0.657847480850727,0.2858651205897331
CIVETNMT -> NMT2Sym -> MEBRAINS -> NMT2Sym -> CIVETNMT,4,0.6573076611161857,0.23428834229707718
CIVETNMT -> D99 -> Yerkes19 -> MEBRAINS -> CIVETNMT,4,0.6288785992745961,0.2857004404067993
CIVETNMT -> D99 -> NMT2Sym -> CIVETNMT,3,0.4971642648561855,0.32356637716293335
CIVETNMT -> D99 -> NMT2Sym -> Yerkes19 -> CIVETNMT,4,0.47654717107505784,0.32973533868789673
CIVETNMT -> MEBRAINS -> NMT2Sym -> MEBRAINS -> CIVETNMT,4,0.46409468322844755,0.28721293061971664
CIVETNMT -> D99 -> Yerkes19 -> NMT2Sym -> CIVETNMT,4,0.46407407763671776,0.3350662887096405
CIVETNMT -> D99 -> MEBRAINS -> NMT2Sym -> CIVETNMT,4,0.38071267873634423,0.3321385383605957
CIVETNMT -> D99 -> NMT2Sym -> MEBRAINS -> CIVETNMT,4,0.29310450316782405,0.35243500769138336
CIVETNMT -> Yerkes19 -> fsLR -> Yerkes19 -> CIVETNMT,4,0.1456028025374636,0.31700775027275085
CIVETNMT -> Yerkes19 -> CIVETNMT,2,0.14544439227967876,0.31711530685424805
CIVETNMT -> Yerkes19 -> D99 -> Yerkes19 -> CIVETNMT,4,0.1342053136033249,0.32961122691631317
CIVETNMT -> Yerkes19 -> MEBRAINS -> Yerkes19 -> CIVETNMT,4,0.05552312552735856,0.32190023362636566
CIVETNMT -> Yerkes19 -> D99 -> MEBRAINS -> CIVETNMT,4,0.05456054339663353,0.32180219888687134
CIVETNMT -> Yerkes19 -> MEBRAINS -> CIVETNMT,3,0.04923237308497472,0.3229318708181381
CIVETNMT -> Yerkes19 -> NMT2Sym -> MEBRAINS -> CIVETNMT,4,-0.07693049809970537,0.3619769662618637
CIVETNMT -> Yerkes19 -> D99 -> NMT2Sym -> CIVETNMT,4,-0.09701485021325423,0.3804291933774948
CIVETNMT -> Yerkes19 -> NMT2Sym -> Yerkes19 -> CIVETNMT,4,-0.10702041238026488,0.3790391534566879
CIVETNMT -> Yerkes19 -> NMT2Sym -> CIVETNMT,3,-0.11293210788815873,0.37941065430641174
CIVETNMT -> Yerkes19 -> MEBRAINS -> NMT2Sym -> CIVETNMT,4,-0.136838912166394,0.3596627861261368
