path,n_hops,pearson_r,max_abs_diff
CIVETNMT -> NMT2Sym -> CIVETNMT,2,0.9929019673762506,0.03754517808556557
CIVETNMT -> NMT2Sym -> Yerkes19 -> CIVETNMT,3,0.9771089433898164,0.07726339437067509
CIVETNMT -> NMT2Sym -> D99 -> Yerkes19 -> CIVETNMT,4,0.9727839098980872,0.09400140680372715
CIVETNMT -> MEBRAINS -> CIVETNMT,2,0.9142004998389295,0.11970264837145805
CIVETNMT -> MEBRAINS -> Yerkes19 -> CIVETNMT,3,0.9110457781059771,0.12458687275648117
CIVETNMT -> MEBRAINS -> D99 -> Yerkes19 -> CIVETNMT,4,0.9044496095800826,0.12906238809227943
CIVETNMT -> NMT2Sym -> MEBRAINS -> CIVETNMT,3,0.8753239486701357,0.13500432670116425
CIVETNMT -> NMT2Sym -> MEBRAINS -> Yerkes19 -> CIVETNMT,4,0.8747782681617605,0.13941729813814163
CIVETNMT -> NMT2Sym -> Yerkes19 -> MEBRAINS -> CIVETNMT,4,0.8648012733645489,0.1527960579842329
CIVETNMT -> NMT2Sym -> D99 -> MEBRAINS -> CIVETNMT,4,0.8595819696431344,0.1511994544416666
CIVETNMT -> D99 -> Yerkes19 -> CIVETNMT,3,0.8057301274661327,0.2938568890094757
CIVETNMT -> NMT2Sym -> Yerkes19 -> NMT2Sym -> CIVETNMT,4,0.7337047281206758,0.22110705077648163
CIVETNMT -> NMT2Sym -> D99 -> NMT2Sym -> CIVETNMT,4,0.7273126063888214,0.23165999352931976
CIVETNMT -> MEBRAINS -> D99 -> MEBRAINS -> CIVETNMT,4,0.697501522353111,0.2156149558722973
CIVETNMT -> MEBRAINS -> Yerkes19 -> MEBRAINS -> CIVETNMT,4,0.6958376104333095,0.21484550461173058
CIVETNMT -> MEBRAINS -> NMT2Sym -> Yerkes19 -> CIVETNMT,4,0.6869631664566467,0.25584279745817184
CIVETNMT -> MEBRAINS -> D99 -> NMT2Sym -> CIVETNMT,4,0.6776969896144782,0.2603367194533348
CIVETNMT -> MEBRAINS -> NMT2Sym -> CIVETNMT,3,0.677387842806597,0.226210318505764
CIVETNMT -> MEBRAINS -> Yerkes19 -> NMT2Sym -> CIVETNMT,4,0.676914309737087,0.23209144175052643
CIVETNMT -> D99 -> MEBRAINS -> Yerkes19 -> CIVETNMT,4,0.6517289199590368,0.2722074091434479
CIVETNMT -> D99 -> Yerkes19 -> MEBRAINS -> CIVETNMT,4,0.6436854392292432,0.2861887812614441
CIVETNMT -> D99 -> MEBRAINS -> CIVETNMT,3,0.6431277400171747,0.2831069678068161
CIVETNMT -> NMT2Sym -> MEBRAINS -> NMT2Sym -> CIVETNMT,4,0.5818908701320636,0.2404135763645172
CIVETNMT -> MEBRAINS -> NMT2Sym -> MEBRAINS -> CIVETNMT,4,0.4473998684101249,0.309745192527771
CIVETNMT -> D99 -> NMT2Sym -> Yerkes19 -> CIVETNMT,4,0.43756441810259433,0.296932689845562
CIVETNMT -> D99 -> NMT2Sym -> CIVETNMT,3,0.4219579110634273,0.29089026898145676
CIVETNMT -> D99 -> Yerkes19 -> NMT2Sym -> CIVETNMT,4,0.4187986801579407,0.29205355048179626
CIVETNMT -> D99 -> MEBRAINS -> NMT2Sym -> CIVETNMT,4,0.2932373053019988,0.30018289387226105
CIVETNMT -> D99 -> NMT2Sym -> MEBRAINS -> CIVETNMT,4,0.2203229352979736,0.37490086257457733
CIVETNMT -> Yerkes19 -> CIVETNMT,2,0.14059237820211248,0.3131156265735626
CIVETNMT -> Yerkes19 -> fsLR -> Yerkes19 -> CIVETNMT,4,0.14013641494604942,0.3124946802854538
CIVETNMT -> Yerkes19 -> D99 -> Yerkes19 -> CIVETNMT,4,0.12930803113111866,0.3198576718568802
CIVETNMT -> Yerkes19 -> NMT2Sym -> Yerkes19 -> CIVETNMT,4,0.028878759649975664,0.3732722997665405
CIVETNMT -> Yerkes19 -> MEBRAINS -> Yerkes19 -> CIVETNMT,4,-0.002651206817785471,0.3357573002576828
CIVETNMT -> Yerkes19 -> MEBRAINS -> CIVETNMT,3,-0.014501680188658723,0.33557118475437164
CIVETNMT -> Yerkes19 -> D99 -> MEBRAINS -> CIVETNMT,4,-0.01895735173603414,0.3500446677207947
CIVETNMT -> Yerkes19 -> NMT2Sym -> CIVETNMT,3,-0.019427892460449524,0.3719259947538376
CIVETNMT -> Yerkes19 -> D99 -> NMT2Sym -> CIVETNMT,4,-0.03188517131422641,0.36959150433540344
CIVETNMT -> Yerkes19 -> NMT2Sym -> MEBRAINS -> CIVETNMT,4,-0.10187679555855707,0.3659755289554596
CIVETNMT -> Yerkes19 -> MEBRAINS -> NMT2Sym -> CIVETNMT,4,-0.11419762065313402,0.3844746798276901
