path,n_hops,pearson_r,max_abs_diff
D99 -> Yerkes19 -> fsLR -> Yerkes19 -> D99,4,0.9884437181632483,86264.25
D99 -> Yerkes19 -> D99,2,0.9883919374991122,86441.50390625
D99 -> Yerkes19 -> CIVETNMT -> NMT2Sym -> D99,4,0.9568953575071188,125606.0703125
D99 -> Yerkes19 -> CIVETNMT -> MEBRAINS -> D99,4,0.897642818914684,196521.91015625
D99 -> MEBRAINS -> Yerkes19 -> D99,3,0.8900188438937723,148320.80078125
D99 -> MEBRAINS -> D99,2,0.8857886064549475,149743.1015625
D99 -> MEBRAINS -> CIVETNMT -> NMT2Sym -> D99,4,0.8824358815852112,176943.484375
D99 -> Yerkes19 -> MEBRAINS -> Yerkes19 -> D99,4,0.8754156679671824,152959.65881347656
D99 -> Yerkes19 -> MEBRAINS -> D99,3,0.8685797840649906,159857.3896484375
D99 -> Yerkes19 -> CIVETNMT -> D99,3,0.8351631114386985,274011.3984375
D99 -> NMT2Sym -> Yerkes19 -> D99,3,0.789136614702668,248116.9765625
D99 -> NMT2Sym -> CIVETNMT -> NMT2Sym -> D99,4,0.7664859269008899,256228.8671875
D99 -> NMT2Sym -> D99,2,0.7635836721527485,260840.6015625
D99 -> Yerkes19 -> NMT2Sym -> Yerkes19 -> D99,4,0.7478770346252395,262447.5390625
D99 -> Yerkes19 -> NMT2Sym -> D99,3,0.7351625261995404,284300.921875
D99 -> MEBRAINS -> Yerkes19 -> CIVETNMT -> D99,4,0.7315018375532997,255230.75
D99 -> MEBRAINS -> CIVETNMT -> MEBRAINS -> D99,4,0.715338979820581,226722.859375
D99 -> MEBRAINS -> CIVETNMT -> D99,3,0.715138376368868,282916.1171875
D99 -> Yerkes19 -> MEBRAINS -> CIVETNMT -> D99,4,0.6871374868495509,291011.625
D99 -> MEBRAINS -> NMT2Sym -> Yerkes19 -> D99,4,0.6695688730943097,280635.1953125
D99 -> MEBRAINS -> Yerkes19 -> MEBRAINS -> D99,4,0.6680882184644366,227612.17578125
D99 -> MEBRAINS -> Yerkes19 -> NMT2Sym -> D99,4,0.6504904580921301,282928.6484375
D99 -> MEBRAINS -> NMT2Sym -> D99,3,0.645292587091965,294226.4921875
D99 -> NMT2Sym -> CIVETNMT -> MEBRAINS -> D99,4,0.6392955592937746,318335.15625
D99 -> NMT2Sym -> MEBRAINS -> D99,3,0.6378258096778536,309104.859375
D99 -> NMT2Sym -> Yerkes19 -> MEBRAINS -> D99,4,0.6374856366537649,312868.625
D99 -> NMT2Sym -> MEBRAINS -> Yerkes19 -> D99,4,0.6372025003866753,320360.71875
D99 -> Yerkes19 -> MEBRAINS -> NMT2Sym -> D99,4,0.6216814228561284,301585.125
D99 -> Yerkes19 -> NMT2Sym -> MEBRAINS -> D99,4,0.6191681182401152,326153.15625
D99 -> NMT2Sym -> CIVETNMT -> D99,3,0.5725666787363811,317923.4375
D99 -> NMT2Sym -> Yerkes19 -> CIVETNMT -> D99,4,0.5597815824651386,325512.484375
D99 -> Yerkes19 -> NMT2Sym -> CIVETNMT -> D99,4,0.5431899131546727,330422.453125
D99 -> MEBRAINS -> NMT2Sym -> MEBRAINS -> D99,4,0.5007872853621174,298594.09375
D99 -> MEBRAINS -> NMT2Sym -> CIVETNMT -> D99,4,0.4576067719549886,323351.484375
D99 -> NMT2Sym -> Yerkes19 -> NMT2Sym -> D99,4,0.40584858567376675,363125.46875
D99 -> NMT2Sym -> MEBRAINS -> CIVETNMT -> D99,4,0.4048579066544501,342466.0
D99 -> NMT2Sym -> MEBRAINS -> NMT2Sym -> D99,4,0.29791098833628793,350927.765625
D99 -> Yerkes19 -> CIVETNMT -> Yerkes19 -> D99,4,0.24567334840821717,362122.078125
D99 -> MEBRAINS -> CIVETNMT -> Yerkes19 -> D99,4,0.225945779042518,331372.875
D99 -> NMT2Sym -> CIVETNMT -> Yerkes19 -> D99,4,0.09732870520500338,355638.3125
