path,n_hops,pearson_r,max_abs_diff
D99 -> Yerkes19 -> fsLR -> Yerkes19 -> D99,4,0.9887845473110983,84569.587890625
D99 -> Yerkes19 -> D99,2,0.9886668534087218,82465.08813476562
D99 -> Yerkes19 -> CIVETNMT -> NMT2Sym -> D99,4,0.9571568682726378,113712.140625
D99 -> Yerkes19 -> CIVETNMT -> MEBRAINS -> D99,4,0.9097623067958445,171979.9296875
D99 -> Yerkes19 -> MEBRAINS -> D99,3,0.8729827341895894,194727.796875
D99 -> MEBRAINS -> D99,2,0.8720053916767518,204612.3125
D99 -> Yerkes19 -> CIVETNMT -> D99,3,0.8624793225799042,259378.8203125
D99 -> MEBRAINS -> Yerkes19 -> D99,3,0.8571227441372702,185253.328125
D99 -> MEBRAINS -> CIVETNMT -> NMT2Sym -> D99,4,0.8555684859566522,164956.6171875
D99 -> Yerkes19 -> MEBRAINS -> Yerkes19 -> D99,4,0.8540973658700196,178198.14453125
D99 -> Yerkes19 -> NMT2Sym -> Yerkes19 -> D99,4,0.7595641773735937,264971.7421875
D99 -> NMT2Sym -> Yerkes19 -> D99,3,0.7395241707349853,271879.8671875
D99 -> Yerkes19 -> NMT2Sym -> D99,3,0.714274695630136,260281.5234375
D99 -> MEBRAINS -> Yerkes19 -> CIVETNMT -> D99,4,0.7130476059412256,256969.078125
D99 -> NMT2Sym -> CIVETNMT -> NMT2Sym -> D99,4,0.7064361124876917,267993.15625
D99 -> Yerkes19 -> MEBRAINS -> CIVETNMT -> D99,4,0.702752554034065,271626.8984375
D99 -> MEBRAINS -> CIVETNMT -> MEBRAINS -> D99,4,0.7010365755140148,228278.953125
D99 -> MEBRAINS -> CIVETNMT -> D99,3,0.6994538628267642,266491.390625
D99 -> NMT2Sym -> D99,2,0.6906655490106964,271156.5546875
D99 -> MEBRAINS -> Yerkes19 -> MEBRAINS -> D99,4,0.6262879413559559,233408.453125
D99 -> MEBRAINS -> NMT2Sym -> Yerkes19 -> D99,4,0.6187132355453993,263949.484375
D99 -> NMT2Sym -> CIVETNMT -> MEBRAINS -> D99,4,0.6076451564034827,290221.0859375
D99 -> MEBRAINS -> NMT2Sym -> D99,3,0.6059821477329612,266454.5078125
D99 -> MEBRAINS -> Yerkes19 -> NMT2Sym -> D99,4,0.6015985051948435,262351.9921875
D99 -> Yerkes19 -> MEBRAINS -> NMT2Sym -> D99,4,0.6009912078493582,270254.9765625
D99 -> NMT2Sym -> Yerkes19 -> MEBRAINS -> D99,4,0.5433060226989033,320476.296875
D99 -> Yerkes19 -> NMT2Sym -> MEBRAINS -> D99,4,0.5389892649335951,334037.625
D99 -> NMT2Sym -> MEBRAINS -> D99,3,0.5193004409226706,330647.390625
D99 -> NMT2Sym -> MEBRAINS -> Yerkes19 -> D99,4,0.5063349589852643,323601.921875
D99 -> NMT2Sym -> Yerkes19 -> CIVETNMT -> D99,4,0.4614888777802177,276303.1796875
D99 -> Yerkes19 -> NMT2Sym -> CIVETNMT -> D99,4,0.43689016322008173,256206.4609375
D99 -> NMT2Sym -> CIVETNMT -> D99,3,0.4253839932954656,268610.890625
D99 -> MEBRAINS -> NMT2Sym -> MEBRAINS -> D99,4,0.34017302244014724,348690.90625
D99 -> NMT2Sym -> Yerkes19 -> NMT2Sym -> D99,4,0.3156500359976895,308836.953125
D99 -> MEBRAINS -> NMT2Sym -> CIVETNMT -> D99,4,0.2848677071077509,293010.75
D99 -> Yerkes19 -> CIVETNMT -> Yerkes19 -> D99,4,0.27573547494213885,343900.921875
D99 -> NMT2Sym -> MEBRAINS -> CIVETNMT -> D99,4,0.2128348982253941,363834.921875
D99 -> MEBRAINS -> CIVETNMT -> Yerkes19 -> D99,4,0.18316667091870742,338050.484375
D99 -> NMT2Sym -> MEBRAINS -> NMT2Sym -> D99,4,0.14739749533639065,339240.828125
D99 -> NMT2Sym -> CIVETNMT -> Yerkes19 -> D99,4,-0.07254106768248327,374464.28125
