path,n_hops,pearson_r,max_abs_diff
MEBRAINS -> Yerkes19 -> CIVETNMT -> MEBRAINS,3,0.9317219653886851,115463.6884765625
MEBRAINS -> CIVETNMT -> MEBRAINS,2,0.9310406769806754,117026.20703125
MEBRAINS -> D99 -> Yerkes19 -> CIVETNMT -> MEBRAINS,4,0.9237870025177047,123185.8359375
MEBRAINS -> CIVETNMT -> NMT2Sym -> CIVETNMT -> MEBRAINS,4,0.921552749236347,134768.66015625
MEBRAINS -> D99 -> MEBRAINS,2,0.9084138988218188,129766.49609375
MEBRAINS -> Yerkes19 -> D99 -> MEBRAINS,3,0.9074625000507094,134589.8515625
MEBRAINS -> Yerkes19 -> fsLR -> Yerkes19 -> MEBRAINS,4,0.9011099606738205,137265.796875
MEBRAINS -> D99 -> Yerkes19 -> D99 -> MEBRAINS,4,0.9010214486792567,129444.80859375
MEBRAINS -> Yerkes19 -> MEBRAINS,2,0.900792471021172,137822.01171875
MEBRAINS -> D99 -> Yerkes19 -> MEBRAINS,3,0.8956906714729812,141238.33325195312
MEBRAINS -> Yerkes19 -> D99 -> Yerkes19 -> MEBRAINS,4,0.8952506576798204,134872.890625
MEBRAINS -> CIVETNMT -> NMT2Sym -> MEBRAINS,3,0.8933232351548105,152669.36328125
MEBRAINS -> Yerkes19 -> CIVETNMT -> NMT2Sym -> MEBRAINS,4,0.8920005492509385,149368.669921875
MEBRAINS -> CIVETNMT -> NMT2Sym -> D99 -> MEBRAINS,4,0.8912412285037998,178450.6640625
MEBRAINS -> CIVETNMT -> NMT2Sym -> Yerkes19 -> MEBRAINS,4,0.8876689747073961,180166.6640625
MEBRAINS -> NMT2Sym -> CIVETNMT -> MEBRAINS,3,0.7106021856074589,277565.8828125
MEBRAINS -> Yerkes19 -> NMT2Sym -> CIVETNMT -> MEBRAINS,4,0.7059985762525267,267476.25
MEBRAINS -> NMT2Sym -> Yerkes19 -> CIVETNMT -> MEBRAINS,4,0.7022700348136676,286666.65625
MEBRAINS -> D99 -> NMT2Sym -> CIVETNMT -> MEBRAINS,4,0.6988851351464577,244003.5078125
MEBRAINS -> Yerkes19 -> CIVETNMT -> D99 -> MEBRAINS,4,0.6862330632689895,222327.78515625
MEBRAINS -> CIVETNMT -> D99 -> MEBRAINS,3,0.6799064283565559,220441.7734375
MEBRAINS -> NMT2Sym -> Yerkes19 -> D99 -> MEBRAINS,4,0.677282253828204,262689.2890625
MEBRAINS -> CIVETNMT -> D99 -> Yerkes19 -> MEBRAINS,4,0.6769800375166976,222582.3359375
MEBRAINS -> NMT2Sym -> Yerkes19 -> MEBRAINS,3,0.673309695615097,275590.625
MEBRAINS -> NMT2Sym -> MEBRAINS,2,0.6692741410341173,279826.59375
MEBRAINS -> D99 -> NMT2Sym -> Yerkes19 -> MEBRAINS,4,0.6680287524508054,271896.59375
MEBRAINS -> Yerkes19 -> D99 -> NMT2Sym -> MEBRAINS,4,0.6676374290600414,232984.78125
MEBRAINS -> D99 -> NMT2Sym -> MEBRAINS,3,0.6671031132007349,276329.796875
MEBRAINS -> Yerkes19 -> NMT2Sym -> Yerkes19 -> MEBRAINS,4,0.664467347481098,254304.640625
MEBRAINS -> Yerkes19 -> NMT2Sym -> MEBRAINS,3,0.6642012764130465,260968.234375
MEBRAINS -> NMT2Sym -> CIVETNMT -> NMT2Sym -> MEBRAINS,4,0.6615018107872296,269070.15625
MEBRAINS -> NMT2Sym -> D99 -> MEBRAINS,3,0.6546320483058438,293129.65625
MEBRAINS -> Yerkes19 -> NMT2Sym -> D99 -> MEBRAINS,4,0.6522082126683065,277804.046875
MEBRAINS -> D99 -> NMT2Sym -> D99 -> MEBRAINS,4,0.6462551075190724,262302.5390625
MEBRAINS -> D99 -> Yerkes19 -> NMT2Sym -> MEBRAINS,4,0.6443557265204767,293149.6171875
MEBRAINS -> NMT2Sym -> D99 -> Yerkes19 -> MEBRAINS,4,0.6330274139609615,315869.59375
MEBRAINS -> NMT2Sym -> CIVETNMT -> D99 -> MEBRAINS,4,0.3888425827369148,290770.9375
MEBRAINS -> CIVETNMT -> D99 -> NMT2Sym -> MEBRAINS,4,0.36514872876101756,293153.765625
MEBRAINS -> NMT2Sym -> Yerkes19 -> NMT2Sym -> MEBRAINS,4,0.21116739177593774,359708.546875
MEBRAINS -> NMT2Sym -> D99 -> NMT2Sym -> MEBRAINS,4,0.18777164150766817,358907.53125
MEBRAINS -> CIVETNMT -> Yerkes19 -> D99 -> MEBRAINS,4,-0.005457555536158648,317452.9375
MEBRAINS -> CIVETNMT -> Yerkes19 -> CIVETNMT -> MEBRAINS,4,-0.02557317950206708,319775.140625
MEBRAINS -> CIVETNMT -> Yerkes19 -> MEBRAINS,3,-0.03172591832713025,306932.859375
MEBRAINS -> Yerkes19 -> CIVETNMT -> Yerkes19 -> MEBRAINS,4,-0.033746558234361325,300869.71875
MEBRAINS -> NMT2Sym -> CIVETNMT -> Yerkes19 -> MEBRAINS,4,-0.22223406351663044,364937.53125
MEBRAINS -> CIVETNMT -> Yerkes19 -> NMT2Sym -> MEBRAINS,4,-0.29045089723477713,347196.25
