path,n_hops,pearson_r,max_abs_diff
MEBRAINS -> Yerkes19 -> CIVETNMT -> MEBRAINS,3,0.9357280579609735,123209.6318359375
MEBRAINS -> D99 -> Yerkes19 -> CIVETNMT -> MEBRAINS,4,0.9333990854053005,126971.66650390625
MEBRAINS -> CIVETNMT -> MEBRAINS,2,0.9312584082967904,119401.591796875
MEBRAINS -> CIVETNMT -> NMT2Sym -> CIVETNMT -> MEBRAINS,4,0.921183116477584,138388.92578125
MEBRAINS -> D99 -> MEBRAINS,2,0.8976401101744474,152810.140625
MEBRAINS -> Yerkes19 -> CIVETNMT -> NMT2Sym -> MEBRAINS,4,0.8922962956765689,139042.890625
MEBRAINS -> Yerkes19 -> fsLR -> Yerkes19 -> MEBRAINS,4,0.8904580466899926,150084.30859375
MEBRAINS -> D99 -> Yerkes19 -> MEBRAINS,3,0.8904232935436666,168861.85546875
MEBRAINS -> Yerkes19 -> MEBRAINS,2,0.890150630719334,151028.9140625
MEBRAINS -> Yerkes19 -> D99 -> MEBRAINS,3,0.8889098017096567,152101.505859375
MEBRAINS -> D99 -> Yerkes19 -> D99 -> MEBRAINS,4,0.8853141483739775,157844.134765625
MEBRAINS -> CIVETNMT -> NMT2Sym -> MEBRAINS,3,0.8839615898023518,141189.21875
MEBRAINS -> Yerkes19 -> D99 -> Yerkes19 -> MEBRAINS,4,0.8802740774489067,179767.6796875
MEBRAINS -> CIVETNMT -> NMT2Sym -> Yerkes19 -> MEBRAINS,4,0.879901530523438,148465.23046875
MEBRAINS -> CIVETNMT -> NMT2Sym -> D99 -> MEBRAINS,4,0.8756782628426891,148825.19775390625
MEBRAINS -> NMT2Sym -> Yerkes19 -> CIVETNMT -> MEBRAINS,4,0.7262564983275942,264949.359375
MEBRAINS -> NMT2Sym -> CIVETNMT -> MEBRAINS,3,0.6821780036527435,237519.265625
MEBRAINS -> Yerkes19 -> CIVETNMT -> D99 -> MEBRAINS,4,0.6735660310040834,243313.0234375
MEBRAINS -> D99 -> NMT2Sym -> CIVETNMT -> MEBRAINS,4,0.669021071190385,241566.828125
MEBRAINS -> CIVETNMT -> D99 -> MEBRAINS,3,0.6670028601134547,232607.296875
MEBRAINS -> Yerkes19 -> NMT2Sym -> CIVETNMT -> MEBRAINS,4,0.6659253477757262,238158.5
MEBRAINS -> CIVETNMT -> D99 -> Yerkes19 -> MEBRAINS,4,0.660613498598446,241494.703125
MEBRAINS -> NMT2Sym -> Yerkes19 -> D99 -> MEBRAINS,4,0.6506042387836521,279938.84375
MEBRAINS -> NMT2Sym -> Yerkes19 -> MEBRAINS,3,0.6326637158306377,286342.359375
MEBRAINS -> NMT2Sym -> CIVETNMT -> NMT2Sym -> MEBRAINS,4,0.6283214464311252,281902.171875
MEBRAINS -> NMT2Sym -> D99 -> MEBRAINS,3,0.6280402881637555,267427.015625
MEBRAINS -> NMT2Sym -> MEBRAINS,2,0.6221379786944208,262890.8984375
MEBRAINS -> Yerkes19 -> NMT2Sym -> Yerkes19 -> MEBRAINS,4,0.6207550756933694,275341.5
MEBRAINS -> Yerkes19 -> NMT2Sym -> D99 -> MEBRAINS,4,0.6185413971824603,265517.15625
MEBRAINS -> D99 -> Yerkes19 -> NMT2Sym -> MEBRAINS,4,0.6183633153764095,268188.578125
MEBRAINS -> D99 -> NMT2Sym -> D99 -> MEBRAINS,4,0.6180640890010581,270073.625
MEBRAINS -> D99 -> NMT2Sym -> Yerkes19 -> MEBRAINS,4,0.6179798254224639,305643.90625
MEBRAINS -> NMT2Sym -> D99 -> Yerkes19 -> MEBRAINS,4,0.6155959182200871,286357.015625
MEBRAINS -> D99 -> NMT2Sym -> MEBRAINS,3,0.6116469418988422,270345.28125
MEBRAINS -> Yerkes19 -> NMT2Sym -> MEBRAINS,3,0.6086365219981892,259538.3828125
MEBRAINS -> Yerkes19 -> D99 -> NMT2Sym -> MEBRAINS,4,0.5836031946499607,248763.7421875
MEBRAINS -> NMT2Sym -> CIVETNMT -> D99 -> MEBRAINS,4,0.27671585340826244,327666.1875
MEBRAINS -> CIVETNMT -> D99 -> NMT2Sym -> MEBRAINS,4,0.26678249277184246,310234.5625
MEBRAINS -> NMT2Sym -> Yerkes19 -> NMT2Sym -> MEBRAINS,4,0.1873540199435222,299398.3359375
MEBRAINS -> NMT2Sym -> D99 -> NMT2Sym -> MEBRAINS,4,0.14369847428813737,303706.3125
MEBRAINS -> CIVETNMT -> Yerkes19 -> CIVETNMT -> MEBRAINS,4,-0.025921244170737774,314344.640625
MEBRAINS -> CIVETNMT -> Yerkes19 -> D99 -> MEBRAINS,4,-0.1063678246752948,333722.953125
MEBRAINS -> Yerkes19 -> CIVETNMT -> Yerkes19 -> MEBRAINS,4,-0.127522396266995,307101.609375
MEBRAINS -> CIVETNMT -> Yerkes19 -> MEBRAINS,3,-0.13257614299985207,314788.765625
MEBRAINS -> CIVETNMT -> Yerkes19 -> NMT2Sym -> MEBRAINS,4,-0.2638980708902747,371252.109375
MEBRAINS -> NMT2Sym -> CIVETNMT -> Yerkes19 -> MEBRAINS,4,-0.346740381164026,346409.1875
