Cycle test results — origin: MEBRAINS, hemisphere: right
------------------------------------------------------------------------------------------
Transformation path                                       Hops   Pearson r     Max |delta|
------------------------------------------------------------------------------------------
MEBRAINS -> Yerkes19 -> CIVETNMT -> MEBRAINS                 3    0.935728       1.232e+05
MEBRAINS -> D99 -> Yerkes19 -> CIVETNMT -> MEBRAINS          4    0.933399       1.270e+05
MEBRAINS -> CIVETNMT -> MEBRAINS                             2    0.931258       1.194e+05
MEBRAINS -> CIVETNMT -> NMT2Sym -> CIVETNMT -> MEBRAINS      4    0.921183       1.384e+05
MEBRAINS -> D99 -> MEBRAINS                                  2    0.897640       1.528e+05
MEBRAINS -> Yerkes19 -> CIVETNMT -> NMT2Sym -> MEBRAINS      4    0.892296       1.390e+05
MEBRAINS -> Yerkes19 -> fsLR -> Yerkes19 -> MEBRAINS         4    0.890458       1.501e+05
MEBRAINS -> D99 -> Yerkes19 -> MEBRAINS                      3    0.890423       1.689e+05
MEBRAINS -> Yerkes19 -> MEBRAINS                             2    0.890151       1.510e+05
MEBRAINS -> Yerkes19 -> D99 -> MEBRAINS                      3    0.888910       1.521e+05
MEBRAINS -> D99 -> Yerkes19 -> D99 -> MEBRAINS               4    0.885314       1.578e+05
MEBRAINS -> CIVETNMT -> NMT2Sym -> MEBRAINS                  3    0.883962       1.412e+05
MEBRAINS -> Yerkes19 -> D99 -> Yerkes19 -> MEBRAINS          4    0.880274       1.798e+05
MEBRAINS -> CIVETNMT -> NMT2Sym -> Yerkes19 -> MEBRAINS      4    0.879902       1.485e+05
MEBRAINS -> CIVETNMT -> NMT2Sym -> D99 -> MEBRAINS           4    0.875678       1.488e+05
MEBRAINS -> NMT2Sym -> Yerkes19 -> CIVETNMT -> MEBRAINS      4    0.726256       2.649e+05
MEBRAINS -> NMT2Sym -> CIVETNMT -> MEBRAINS                  3    0.682178       2.375e+05
MEBRAINS -> Yerkes19 -> CIVETNMT -> D99 -> MEBRAINS          4    0.673566       2.433e+05
MEBRAINS -> D99 -> NMT2Sym -> CIVETNMT -> MEBRAINS           4    0.669021       2.416e+05
MEBRAINS -> CIVETNMT -> D99 -> MEBRAINS                      3    0.667003       2.326e+05
MEBRAINS -> Yerkes19 -> NMT2Sym -> CIVETNMT -> MEBRAINS      4    0.665925       2.382e+05
MEBRAINS -> CIVETNMT -> D99 -> Yerkes19 -> MEBRAINS          4    0.660613       2.415e+05
MEBRAINS -> NMT2Sym -> Yerkes19 -> D99 -> MEBRAINS           4    0.650604       2.799e+05
MEBRAINS -> NMT2Sym -> Yerkes19 -> MEBRAINS                  3    0.632664       2.863e+05
MEBRAINS -> NMT2Sym -> CIVETNMT -> NMT2Sym -> MEBRAINS       4    0.628321       2.819e+05
MEBRAINS -> NMT2Sym -> D99 -> MEBRAINS                       3    0.628040       2.674e+05
MEBRAINS -> NMT2Sym -> MEBRAINS                              2    0.622138       2.629e+05
MEBRAINS -> Yerkes19 -> NMT2Sym -> Yerkes19 -> MEBRAINS      4    0.620755       2.753e+05
MEBRAINS -> Yerkes19 -> NMT2Sym -> D99 -> MEBRAINS           4    0.618541       2.655e+05
MEBRAINS -> D99 -> Yerkes19 -> NMT2Sym -> MEBRAINS           4    0.618363       2.682e+05
MEBRAINS -> D99 -> NMT2Sym -> D99 -> MEBRAINS                4    0.618064       2.701e+05
MEBRAINS -> D99 -> NMT2Sym -> Yerkes19 -> MEBRAINS           4    0.617980       3.056e+05
MEBRAINS -> NMT2Sym -> D99 -> Yerkes19 -> MEBRAINS           4    0.615596       2.864e+05
MEBRAINS -> D99 -> NMT2Sym -> MEBRAINS                       3    0.611647       2.703e+05
MEBRAINS -> Yerkes19 -> NMT2Sym -> MEBRAINS                  3    0.608637       2.595e+05
MEBRAINS -> Yerkes19 -> D99 -> NMT2Sym -> MEBRAINS           4    0.583603       2.488e+05
MEBRAINS -> NMT2Sym -> CIVETNMT -> D99 -> MEBRAINS           4    0.276716       3.277e+05
MEBRAINS -> CIVETNMT -> D99 -> NMT2Sym -> MEBRAINS           4    0.266782       3.102e+05
MEBRAINS -> NMT2Sym -> Yerkes19 -> NMT2Sym -> MEBRAINS       4    0.187354       2.994e+05
MEBRAINS -> NMT2Sym -> D99 -> NMT2Sym -> MEBRAINS            4    0.143698       3.037e+05
MEBRAINS -> CIVETNMT -> Yerkes19 -> CIVETNMT -> MEBRAINS     4   -0.025921       3.143e+05
MEBRAINS -> CIVETNMT -> Yerkes19 -> D99 -> MEBRAINS          4   -0.106368       3.337e+05
MEBRAINS -> Yerkes19 -> CIVETNMT -> Yerkes19 -> MEBRAINS     4   -0.127522       3.071e+05
MEBRAINS -> CIVETNMT -> Yerkes19 -> MEBRAINS                 3   -0.132576       3.148e+05
MEBRAINS -> CIVETNMT -> Yerkes19 -> NMT2Sym -> MEBRAINS      4   -0.263898       3.713e+05
MEBRAINS -> NMT2Sym -> CIVETNMT -> Yerkes19 -> MEBRAINS      4   -0.346740       3.464e+05
------------------------------------------------------------------------------------------
Total cycles: 46
Mean Pearson r: 0.581905
