path,n_hops,pearson_r,max_abs_diff
NMT2Sym -> CIVETNMT -> NMT2Sym,2,0.992758352756068,43080.3359375
NMT2Sym -> Yerkes19 -> CIVETNMT -> NMT2Sym,3,0.9753135149854089,87923.46875
NMT2Sym -> D99 -> Yerkes19 -> CIVETNMT -> NMT2Sym,4,0.966133282396864,138325.4296875
NMT2Sym -> CIVETNMT -> MEBRAINS -> CIVETNMT -> NMT2Sym,4,0.8938805823939313,123914.9765625
NMT2Sym -> D99 -> MEBRAINS -> CIVETNMT -> NMT2Sym,4,0.8578694358088965,145007.001953125
NMT2Sym -> MEBRAINS -> CIVETNMT -> NMT2Sym,3,0.8450342171289542,165304.765625
NMT2Sym -> Yerkes19 -> MEBRAINS -> CIVETNMT -> NMT2Sym,4,0.8449000054100699,169737.0234375
NMT2Sym -> MEBRAINS -> Yerkes19 -> CIVETNMT -> NMT2Sym,4,0.8437287649868813,161445.1953125
NMT2Sym -> Yerkes19 -> fsLR -> Yerkes19 -> NMT2Sym,4,0.7893615981288783,212179.1875
NMT2Sym -> Yerkes19 -> NMT2Sym,2,0.7888211176812985,214196.96875
NMT2Sym -> Yerkes19 -> D99 -> NMT2Sym,3,0.7881010273705175,217948.0390625
NMT2Sym -> D99 -> NMT2Sym,2,0.7753958409884896,209640.953125
NMT2Sym -> Yerkes19 -> D99 -> Yerkes19 -> NMT2Sym,4,0.7699396941390683,219632.1875
NMT2Sym -> D99 -> Yerkes19 -> D99 -> NMT2Sym,4,0.7556227449650532,219510.1640625
NMT2Sym -> D99 -> Yerkes19 -> NMT2Sym,3,0.7538350404852798,226077.9765625
NMT2Sym -> CIVETNMT -> MEBRAINS -> Yerkes19 -> NMT2Sym,4,0.676193625367702,273263.65625
NMT2Sym -> CIVETNMT -> MEBRAINS -> NMT2Sym,3,0.674470428774218,289930.265625
NMT2Sym -> CIVETNMT -> MEBRAINS -> D99 -> NMT2Sym,4,0.6681265173611584,284653.359375
NMT2Sym -> MEBRAINS -> Yerkes19 -> NMT2Sym,3,0.6649955644657723,251398.8125
NMT2Sym -> Yerkes19 -> D99 -> MEBRAINS -> NMT2Sym,4,0.6645721633267399,276659.125
NMT2Sym -> Yerkes19 -> CIVETNMT -> MEBRAINS -> NMT2Sym,4,0.6618006036831757,287363.5625
NMT2Sym -> D99 -> MEBRAINS -> Yerkes19 -> NMT2Sym,4,0.660836922869813,255344.078125
NMT2Sym -> D99 -> MEBRAINS -> D99 -> NMT2Sym,4,0.6601941681986292,266458.265625
NMT2Sym -> D99 -> MEBRAINS -> NMT2Sym,3,0.6599627025739423,272323.765625
NMT2Sym -> MEBRAINS -> Yerkes19 -> D99 -> NMT2Sym,4,0.6599449315805114,253624.21875
NMT2Sym -> Yerkes19 -> MEBRAINS -> Yerkes19 -> NMT2Sym,4,0.6597203467702223,250722.1328125
NMT2Sym -> MEBRAINS -> NMT2Sym,2,0.6567656711504188,268301.484375
NMT2Sym -> MEBRAINS -> D99 -> NMT2Sym,3,0.6567058635872254,262291.078125
NMT2Sym -> Yerkes19 -> MEBRAINS -> NMT2Sym,3,0.6542382613274902,267889.484375
NMT2Sym -> Yerkes19 -> MEBRAINS -> D99 -> NMT2Sym,4,0.6536991079876356,261409.2890625
NMT2Sym -> MEBRAINS -> D99 -> Yerkes19 -> NMT2Sym,4,0.6514560206714681,265621.15625
NMT2Sym -> D99 -> Yerkes19 -> MEBRAINS -> NMT2Sym,4,0.6318821039697485,277682.78125
NMT2Sym -> MEBRAINS -> CIVETNMT -> MEBRAINS -> NMT2Sym,4,0.4934613949482439,296527.171875
NMT2Sym -> CIVETNMT -> D99 -> Yerkes19 -> NMT2Sym,4,0.4905010747752386,284616.859375
NMT2Sym -> CIVETNMT -> D99 -> NMT2Sym,3,0.4745886472972618,292338.515625
NMT2Sym -> MEBRAINS -> D99 -> MEBRAINS -> NMT2Sym,4,0.46893205211496264,274648.75
NMT2Sym -> MEBRAINS -> Yerkes19 -> MEBRAINS -> NMT2Sym,4,0.45640584860960776,276913.921875
NMT2Sym -> Yerkes19 -> CIVETNMT -> D99 -> NMT2Sym,4,0.4534412031428418,316237.59375
NMT2Sym -> CIVETNMT -> D99 -> MEBRAINS -> NMT2Sym,4,0.39180329921390716,334287.71875
NMT2Sym -> MEBRAINS -> CIVETNMT -> D99 -> NMT2Sym,4,0.34511387108744235,328185.046875
NMT2Sym -> CIVETNMT -> Yerkes19 -> CIVETNMT -> NMT2Sym,4,0.08625504221886984,307677.046875
NMT2Sym -> Yerkes19 -> CIVETNMT -> Yerkes19 -> NMT2Sym,4,-0.15481183460976644,378413.921875
NMT2Sym -> CIVETNMT -> Yerkes19 -> MEBRAINS -> NMT2Sym,4,-0.15650065780525937,363780.734375
NMT2Sym -> CIVETNMT -> Yerkes19 -> NMT2Sym,3,-0.1766263656786235,373314.265625
NMT2Sym -> CIVETNMT -> Yerkes19 -> D99 -> NMT2Sym,4,-0.1834046480748431,375753.765625
NMT2Sym -> MEBRAINS -> CIVETNMT -> Yerkes19 -> NMT2Sym,4,-0.18545889339945623,368643.234375
