path,n_hops,pearson_r,max_abs_diff
NMT2Sym -> CIVETNMT -> NMT2Sym,2,0.9939635018662784,34329.1484375
NMT2Sym -> Yerkes19 -> CIVETNMT -> NMT2Sym,3,0.9751511175926871,85459.7265625
NMT2Sym -> D99 -> Yerkes19 -> CIVETNMT -> NMT2Sym,4,0.967439627559434,109288.0625
NMT2Sym -> CIVETNMT -> MEBRAINS -> CIVETNMT -> NMT2Sym,4,0.8978764748774383,130434.75390625
NMT2Sym -> MEBRAINS -> Yerkes19 -> CIVETNMT -> NMT2Sym,4,0.8553806538433845,171459.78515625
NMT2Sym -> Yerkes19 -> MEBRAINS -> CIVETNMT -> NMT2Sym,4,0.8537352517421142,215526.1015625
NMT2Sym -> MEBRAINS -> CIVETNMT -> NMT2Sym,3,0.8501547549294217,207103.3125
NMT2Sym -> D99 -> MEBRAINS -> CIVETNMT -> NMT2Sym,4,0.8428830317272025,200797.203125
NMT2Sym -> Yerkes19 -> D99 -> Yerkes19 -> NMT2Sym,4,0.7468863207530656,258431.1640625
NMT2Sym -> Yerkes19 -> D99 -> NMT2Sym,3,0.7458277377029694,232803.09375
NMT2Sym -> Yerkes19 -> fsLR -> Yerkes19 -> NMT2Sym,4,0.7419483474466939,241907.3671875
NMT2Sym -> Yerkes19 -> NMT2Sym,2,0.7414874617964106,245576.6328125
NMT2Sym -> D99 -> Yerkes19 -> NMT2Sym,3,0.7206825090292246,259580.9296875
NMT2Sym -> D99 -> Yerkes19 -> D99 -> NMT2Sym,4,0.7203188580576017,226932.43359375
NMT2Sym -> D99 -> NMT2Sym,2,0.7114272788645116,231945.72265625
NMT2Sym -> Yerkes19 -> CIVETNMT -> MEBRAINS -> NMT2Sym,4,0.6697695831502765,280433.0234375
NMT2Sym -> CIVETNMT -> MEBRAINS -> NMT2Sym,3,0.6626057764609112,256797.359375
NMT2Sym -> CIVETNMT -> MEBRAINS -> D99 -> NMT2Sym,4,0.6613792822731716,265128.2421875
NMT2Sym -> CIVETNMT -> MEBRAINS -> Yerkes19 -> NMT2Sym,4,0.6598754839712005,252888.2265625
NMT2Sym -> Yerkes19 -> D99 -> MEBRAINS -> NMT2Sym,4,0.5915749743721489,303894.9375
NMT2Sym -> Yerkes19 -> MEBRAINS -> NMT2Sym,3,0.5848351509963681,327931.71875
NMT2Sym -> Yerkes19 -> MEBRAINS -> Yerkes19 -> NMT2Sym,4,0.5824304880563732,324911.125
NMT2Sym -> MEBRAINS -> NMT2Sym,2,0.5772828799663255,306602.890625
NMT2Sym -> D99 -> MEBRAINS -> NMT2Sym,3,0.5752974711436515,300377.3125
NMT2Sym -> MEBRAINS -> D99 -> Yerkes19 -> NMT2Sym,4,0.5740125296032047,301730.4609375
NMT2Sym -> Yerkes19 -> MEBRAINS -> D99 -> NMT2Sym,4,0.5733960152088665,335061.609375
NMT2Sym -> MEBRAINS -> Yerkes19 -> NMT2Sym,3,0.5715298841797569,303780.984375
NMT2Sym -> D99 -> MEBRAINS -> Yerkes19 -> NMT2Sym,4,0.5694152623075955,297750.484375
NMT2Sym -> D99 -> Yerkes19 -> MEBRAINS -> NMT2Sym,4,0.5684454186735246,308099.140625
NMT2Sym -> MEBRAINS -> D99 -> NMT2Sym,3,0.5656872135938156,311726.9375
NMT2Sym -> D99 -> MEBRAINS -> D99 -> NMT2Sym,4,0.5604083385070193,305364.8359375
NMT2Sym -> MEBRAINS -> Yerkes19 -> D99 -> NMT2Sym,4,0.5502421103463656,311828.875
NMT2Sym -> MEBRAINS -> CIVETNMT -> MEBRAINS -> NMT2Sym,4,0.4608828449890584,313244.8828125
NMT2Sym -> CIVETNMT -> D99 -> Yerkes19 -> NMT2Sym,4,0.3957941735694896,301568.46875
NMT2Sym -> CIVETNMT -> D99 -> NMT2Sym,3,0.3922961547590045,317630.359375
NMT2Sym -> Yerkes19 -> CIVETNMT -> D99 -> NMT2Sym,4,0.3854208446457498,330294.5
NMT2Sym -> MEBRAINS -> Yerkes19 -> MEBRAINS -> NMT2Sym,4,0.3825858012349599,321952.875
NMT2Sym -> MEBRAINS -> D99 -> MEBRAINS -> NMT2Sym,4,0.38220722153081377,321481.1875
NMT2Sym -> CIVETNMT -> D99 -> MEBRAINS -> NMT2Sym,4,0.28508368454025707,356001.625
NMT2Sym -> MEBRAINS -> CIVETNMT -> D99 -> NMT2Sym,4,0.2690628362471454,359253.125
NMT2Sym -> CIVETNMT -> Yerkes19 -> CIVETNMT -> NMT2Sym,4,0.09480883327922,308899.71875
NMT2Sym -> Yerkes19 -> CIVETNMT -> Yerkes19 -> NMT2Sym,4,-0.10905773263205311,374250.046875
NMT2Sym -> CIVETNMT -> Yerkes19 -> NMT2Sym,3,-0.1356647743380327,374314.609375
NMT2Sym -> CIVETNMT -> Yerkes19 -> D99 -> NMT2Sym,4,-0.14943196457951705,373946.15625
NMT2Sym -> CIVETNMT -> Yerkes19 -> MEBRAINS -> NMT2Sym,4,-0.18001889264545104,380990.0625
NMT2Sym -> MEBRAINS -> CIVETNMT -> Yerkes19 -> NMT2Sym,4,-0.19727391694107113,379311.96875
