path,n_hops,pearson_r,max_abs_diff
Yerkes19 -> fsLR -> Yerkes19,2,0.9999612438617671,10118.8046875
Yerkes19 -> D99 -> Yerkes19,2,0.9936267085548616,63462.5986328125
Yerkes19 -> CIVETNMT -> NMT2Sym -> Yerkes19,3,0.976576213805406,98528.984375
Yerkes19 -> CIVETNMT -> NMT2Sym -> D99 -> Yerkes19,4,0.9626235918326584,158252.21875
Yerkes19 -> CIVETNMT -> MEBRAINS -> Yerkes19,3,0.8982046110593012,175014.4921875
Yerkes19 -> CIVETNMT -> MEBRAINS -> D99 -> Yerkes19,4,0.8968838753588378,187089.337890625
Yerkes19 -> D99 -> MEBRAINS -> Yerkes19,3,0.8851016453777807,163988.0
Yerkes19 -> MEBRAINS -> Yerkes19,2,0.884975326785671,154742.97265625
Yerkes19 -> MEBRAINS -> D99 -> Yerkes19,3,0.8833208191669585,168462.01171875
Yerkes19 -> D99 -> MEBRAINS -> D99 -> Yerkes19,4,0.8816883568628516,180624.046875
Yerkes19 -> MEBRAINS -> CIVETNMT -> NMT2Sym -> Yerkes19,4,0.8765813120646972,166117.203125
Yerkes19 -> CIVETNMT -> NMT2Sym -> MEBRAINS -> Yerkes19,4,0.86451347276877,170624.73046875
Yerkes19 -> NMT2Sym -> Yerkes19,2,0.8620326376384708,179979.453125
Yerkes19 -> D99 -> NMT2Sym -> Yerkes19,3,0.8589084961048552,189360.4140625
Yerkes19 -> NMT2Sym -> CIVETNMT -> NMT2Sym -> Yerkes19,4,0.8400021568720614,200592.2421875
Yerkes19 -> D99 -> NMT2Sym -> D99 -> Yerkes19,4,0.8290209274971793,220994.234375
Yerkes19 -> NMT2Sym -> D99 -> Yerkes19,3,0.8258809050153707,205024.28125
Yerkes19 -> CIVETNMT -> D99 -> Yerkes19,3,0.7973062342385385,196604.625
Yerkes19 -> D99 -> MEBRAINS -> NMT2Sym -> Yerkes19,4,0.7624311416503541,232401.0078125
Yerkes19 -> MEBRAINS -> NMT2Sym -> Yerkes19,3,0.7587362488572847,225888.3125
Yerkes19 -> MEBRAINS -> D99 -> NMT2Sym -> Yerkes19,4,0.7500118793803855,221874.0546875
Yerkes19 -> CIVETNMT -> MEBRAINS -> NMT2Sym -> Yerkes19,4,0.7483503652218266,239422.5078125
Yerkes19 -> MEBRAINS -> NMT2Sym -> D99 -> Yerkes19,4,0.727463648946769,227045.05078125
Yerkes19 -> MEBRAINS -> CIVETNMT -> MEBRAINS -> Yerkes19,4,0.6897838852679693,251612.015625
Yerkes19 -> NMT2Sym -> MEBRAINS -> Yerkes19,3,0.6885799899543883,268501.1328125
Yerkes19 -> NMT2Sym -> MEBRAINS -> D99 -> Yerkes19,4,0.680678570532468,266346.0390625
Yerkes19 -> D99 -> NMT2Sym -> MEBRAINS -> Yerkes19,4,0.6788316638427846,273410.8046875
Yerkes19 -> NMT2Sym -> D99 -> MEBRAINS -> Yerkes19,4,0.6760214024664857,279033.5859375
Yerkes19 -> NMT2Sym -> CIVETNMT -> MEBRAINS -> Yerkes19,4,0.6624876351847537,291354.03125
Yerkes19 -> CIVETNMT -> D99 -> MEBRAINS -> Yerkes19,4,0.6584228612602288,248658.0078125
Yerkes19 -> MEBRAINS -> D99 -> MEBRAINS -> Yerkes19,4,0.6345722634793237,236195.234375
Yerkes19 -> MEBRAINS -> CIVETNMT -> D99 -> Yerkes19,4,0.6343665859267166,255155.21875
Yerkes19 -> NMT2Sym -> CIVETNMT -> D99 -> Yerkes19,4,0.5747306397297248,277207.5625
Yerkes19 -> CIVETNMT -> D99 -> NMT2Sym -> Yerkes19,4,0.5744384708176704,256998.9453125
Yerkes19 -> NMT2Sym -> D99 -> NMT2Sym -> Yerkes19,4,0.5456325579964685,320057.84375
Yerkes19 -> MEBRAINS -> NMT2Sym -> MEBRAINS -> Yerkes19,4,0.4913476216535297,286962.90625
Yerkes19 -> NMT2Sym -> MEBRAINS -> NMT2Sym -> Yerkes19,4,0.4475830238297651,346530.859375
Yerkes19 -> CIVETNMT -> Yerkes19,2,0.0941786173592266,314524.734375
Yerkes19 -> CIVETNMT -> NMT2Sym -> CIVETNMT -> Yerkes19,4,0.0612650942901598,337765.0625
Yerkes19 -> CIVETNMT -> MEBRAINS -> CIVETNMT -> Yerkes19,4,0.030246994680926072,341156.984375
Yerkes19 -> D99 -> MEBRAINS -> CIVETNMT -> Yerkes19,4,0.023642475495859,324438.21875
Yerkes19 -> MEBRAINS -> CIVETNMT -> Yerkes19,3,0.013508634761171156,326738.375
Yerkes19 -> NMT2Sym -> MEBRAINS -> CIVETNMT -> Yerkes19,4,-0.16495198129584973,361556.40625
Yerkes19 -> D99 -> NMT2Sym -> CIVETNMT -> Yerkes19,4,-0.16917630163012776,380123.890625
Yerkes19 -> NMT2Sym -> CIVETNMT -> Yerkes19,3,-0.18163756605387468,378459.453125
Yerkes19 -> MEBRAINS -> NMT2Sym -> CIVETNMT -> Yerkes19,4,-0.2078513050635849,358255.75
