path,n_hops,pearson_r,max_abs_diff
Yerkes19 -> fsLR -> Yerkes19,2,0.9999493292301841,11649.60546875
Yerkes19 -> D99 -> Yerkes19,2,0.9924018261357771,65121.7900390625
Yerkes19 -> CIVETNMT -> NMT2Sym -> Yerkes19,3,0.9700336516168453,107604.20703125
Yerkes19 -> CIVETNMT -> NMT2Sym -> D99 -> Yerkes19,4,0.9548997333478121,147391.84375
Yerkes19 -> CIVETNMT -> MEBRAINS -> Yerkes19,3,0.9104252920756681,164801.130859375
Yerkes19 -> CIVETNMT -> MEBRAINS -> D99 -> Yerkes19,4,0.9094249448896541,171674.5390625
Yerkes19 -> D99 -> MEBRAINS -> D99 -> Yerkes19,4,0.8811359352580113,172074.6328125
Yerkes19 -> MEBRAINS -> D99 -> Yerkes19,3,0.87638435338863,187779.0
Yerkes19 -> D99 -> MEBRAINS -> Yerkes19,3,0.8736948189428845,179993.53125
Yerkes19 -> MEBRAINS -> Yerkes19,2,0.8697570899779783,176543.91015625
Yerkes19 -> MEBRAINS -> CIVETNMT -> NMT2Sym -> Yerkes19,4,0.8680442885859717,186882.314453125
Yerkes19 -> CIVETNMT -> NMT2Sym -> MEBRAINS -> Yerkes19,4,0.8623092184051686,191897.58984375
Yerkes19 -> NMT2Sym -> CIVETNMT -> NMT2Sym -> Yerkes19,4,0.8327472688518046,164284.3204345703
Yerkes19 -> NMT2Sym -> Yerkes19,2,0.8324533186773125,159042.3603515625
Yerkes19 -> CIVETNMT -> D99 -> Yerkes19,3,0.8302232610162361,173553.2265625
Yerkes19 -> NMT2Sym -> D99 -> Yerkes19,3,0.8171832671262226,163189.3671875
Yerkes19 -> D99 -> NMT2Sym -> Yerkes19,3,0.8120072878020925,170097.1708984375
Yerkes19 -> D99 -> NMT2Sym -> D99 -> Yerkes19,4,0.7960141577363473,180730.28125
Yerkes19 -> CIVETNMT -> MEBRAINS -> NMT2Sym -> Yerkes19,4,0.7748042736781948,216182.1875
Yerkes19 -> NMT2Sym -> CIVETNMT -> MEBRAINS -> Yerkes19,4,0.6983311529144105,263151.21875
Yerkes19 -> NMT2Sym -> MEBRAINS -> D99 -> Yerkes19,4,0.6746674391712066,280091.671875
Yerkes19 -> MEBRAINS -> CIVETNMT -> MEBRAINS -> Yerkes19,4,0.6733352091627917,282817.4765625
Yerkes19 -> D99 -> MEBRAINS -> NMT2Sym -> Yerkes19,4,0.6713832889479289,237296.5546875
Yerkes19 -> MEBRAINS -> NMT2Sym -> Yerkes19,3,0.6692279913508812,242346.78125
Yerkes19 -> MEBRAINS -> D99 -> NMT2Sym -> Yerkes19,4,0.6665529681841489,230034.6796875
Yerkes19 -> CIVETNMT -> D99 -> MEBRAINS -> Yerkes19,4,0.665780432948022,255266.5390625
Yerkes19 -> NMT2Sym -> D99 -> MEBRAINS -> Yerkes19,4,0.6638353791194366,291326.328125
Yerkes19 -> MEBRAINS -> NMT2Sym -> D99 -> Yerkes19,4,0.6550651073910579,227923.015625
Yerkes19 -> NMT2Sym -> MEBRAINS -> Yerkes19,3,0.6523570505840973,289737.15625
Yerkes19 -> MEBRAINS -> CIVETNMT -> D99 -> Yerkes19,4,0.6484757112695292,243518.9453125
Yerkes19 -> D99 -> NMT2Sym -> MEBRAINS -> Yerkes19,4,0.6224630341402791,294627.390625
Yerkes19 -> MEBRAINS -> D99 -> MEBRAINS -> Yerkes19,4,0.6098695722276604,297288.90625
Yerkes19 -> CIVETNMT -> D99 -> NMT2Sym -> Yerkes19,4,0.535828300184455,262365.4375
Yerkes19 -> NMT2Sym -> CIVETNMT -> D99 -> Yerkes19,4,0.5356858905130262,228751.6328125
Yerkes19 -> NMT2Sym -> D99 -> NMT2Sym -> Yerkes19,4,0.425372797626168,288216.609375
Yerkes19 -> MEBRAINS -> NMT2Sym -> MEBRAINS -> Yerkes19,4,0.4092903644698184,336266.109375
Yerkes19 -> NMT2Sym -> MEBRAINS -> NMT2Sym -> Yerkes19,4,0.2986178995093476,294318.84375
Yerkes19 -> CIVETNMT -> Yerkes19,2,0.08749669644333109,317319.6875
Yerkes19 -> CIVETNMT -> NMT2Sym -> CIVETNMT -> Yerkes19,4,0.05921581490350799,336409.8125
Yerkes19 -> CIVETNMT -> MEBRAINS -> CIVETNMT -> Yerkes19,4,0.02712451386085677,335523.5
Yerkes19 -> D99 -> MEBRAINS -> CIVETNMT -> Yerkes19,4,-0.06104313025701956,340924.15625
Yerkes19 -> MEBRAINS -> CIVETNMT -> Yerkes19,3,-0.07614202377146632,331305.578125
Yerkes19 -> NMT2Sym -> CIVETNMT -> Yerkes19,3,-0.10672441096090174,378417.265625
Yerkes19 -> D99 -> NMT2Sym -> CIVETNMT -> Yerkes19,4,-0.12458663077014284,379555.28125
Yerkes19 -> NMT2Sym -> MEBRAINS -> CIVETNMT -> Yerkes19,4,-0.20136302403317363,363150.875
Yerkes19 -> MEBRAINS -> NMT2Sym -> CIVETNMT -> Yerkes19,4,-0.20849304084635842,382436.671875
