origin,species,hemisphere,mean_pearson_r
all,all,left,0.6028528359549965
all,all,right,0.5703112666803956
NCBR,chimpanzee,left,0.998746115214938
NCBR,chimpanzee,right,0.9987467386923522
fsLR,human,left,0.7062831905531313
fsLR,human,right,0.6666066376602919
fsaverage,human,left,0.9981396324013404
fsaverage,human,right,0.9983379056786036
CIVETNMT,macaque,left,0.5216251903766673
CIVETNMT,macaque,right,0.5105289256069393
D99,macaque,left,0.6614433727876762
D99,macaque,right,0.6056394519238899
MEBRAINS,macaque,left,0.6136952163560379
MEBRAINS,macaque,right,0.5819047498673724
NMT2Sym,macaque,left,0.5795643534159121
NMT2Sym,macaque,right,0.5378270848751867
Yerkes19,macaque,left,0.6065413837697573
Yerkes19,macaque,right,0.5833808189353411
